repo	caminho	data_ultima_mudanca	tipo	area	estado	destino_proposto	duplica_de	resumo_uma_linha
SARU	_shared/tire_data/README.md	2026-06-29	referencia_externa	pneu	duplicado	fisica	saru-research/_shared/tire_data/README.md	Documenta os mesmos parametros Magic Formula 6.2 do pneu Pirelli Scorpion 225/60R18, identico ao README equivalente em saru-research.
saru-KB	00_meta/session-prompts-sa-real-data-2026-07-18.md	2026-07-18	template	telemetria	stale	arquivo		Conjunto de prompts para sessoes paralelas de desenvolvimento do modulo SA do saru-app, citando saru-os e ~/Projects.
saru-KB	10_motorsport/transcrever_prints.py	2026-07-17	script	processo	vigente	arquivo		Script Python que transcreve prints de UI para Markdown via OCR local (Tesseract) ou API Gemini, com retomada e backoff.
saru-KB	20_vehicle_dynamics/modules/01_1_paradigmas_de_simula_o_f_sica.md	2026-07-14	especificacao	fisica	stale	fisica		Descreve os dois solvers de fisica do SARU (QSS em saru-core, transiente 14-DOF em saru-core-jl) e rejeita surrogate neural unico.
saru-KB	20_vehicle_dynamics/modules/02_2_modelos_de_pneu_pacejka_mf.md	2026-07-14	especificacao	pneu	vigente	fisica		Especifica os modelos de pneu Magic Formula 5.2 e 6.2 usados nos dois solvers, com formulas de combined-slip e relaxamento transiente.
saru-KB	20_vehicle_dynamics/modules/03_2_5_aerodin_mica_e_estabilidade.md	2026-07-14	relatorio	dinamica_veicular	vigente	fisica		Registra um bug critico de sinal invertido no momento de arfagem aerodinamico do simulador 14-DOF.
saru-KB	20_vehicle_dynamics/modules/04_2_6_modelo_t_rmico_de_freios_lumped_mass.md	2026-07-14	especificacao	dinamica_veicular	vigente	fisica		Define os parametros do modelo termico lumped-mass de freios GT3 (conveccao, radiacao, faixa de temperatura).
saru-KB	20_vehicle_dynamics/modules/05_3_intelig_ncia_artificial_driver_model.md	2026-07-14	especificacao	ia_agentes	vigente	fisica		Define a diretriz de que o Driver Model usa AMPC/Tube-MPC em vez de redes neurais puras, com a lei de esterço Stanley completa.
saru-KB	20_vehicle_dynamics/modules/06_4_cockpit_f_sico_e_hardware_hil_dim.md	2026-07-14	especificacao	dinamica_veicular	vigente	fisica		Descreve a infraestrutura de Hardware-in-the-Loop (Beckhoff EtherCAT, dSPACE MicroAutoBox III) para o cockpit fisico.
saru-KB	20_vehicle_dynamics/modules/07_5_din_mica_veicular_e_refinamentos_cr_ticos_14_dof.md	2026-07-14	especificacao	dinamica_veicular	vigente	fisica		Detalha correcoes fisicas e numericas do modelo 14-DOF (transferencia de carga, ARB, TCS/ABS, elipse de Kamm) com formulas.
saru-KB	20_vehicle_dynamics/modules/08_6_integra_o_do_driver_model_optimal_lap_mpc.md	2026-07-14	especificacao	ia_agentes	vigente	fisica		Formula a integracao do Driver Model via NMPC em frame curvilineo para otimizacao de volta minima.
saru-KB	20_vehicle_dynamics/modules/09_7_r_d_surrogates_neurais_na_din_mica_veicular.md	2026-07-14	pesquisa	ia_agentes	vigente	fisica		Avalia surrogates neurais (CTESN) como aceleradores do solver fisico, com ganhos estimados e safeguards de fallback.
saru-KB	20_vehicle_dynamics/modules/10_8_par_metros_can_nicos_veiculares_e_pista.md	2026-07-14	especificacao	dinamica_veicular	vigente	fisica		Lista parametros canonicos de veiculos GT3 de referencia e a geometria de pista usada na simulacao.
saru-KB	20_vehicle_dynamics/modules/11_9_r_d_critical_review_do_simulador_14_dof.md	2026-07-14	relatorio	dinamica_veicular	vigente	fisica		Revisao critica que lista falhas identificadas no simulador 14-DOF e o roadmap de correcoes planejadas.
saru-KB	20_vehicle_dynamics/modules/12_10_m_tricas_de_an_lise_telemetria_tra_ado.md	2026-07-14	especificacao	telemetria	stale	poc-trackday/docs		Define formulas de metricas de analise de telemetria e tracado (delta de tempo, rake, g-g, alinhamento espacial) no escopo do antigo saru-os.
