repo	caminho	data_ultima_mudanca	tipo	area	estado	destino_proposto	duplica_de	resumo_uma_linha
saru-app	docs/adr/0001-saru-os-repositorio-multi-servico.md	2026-08-11	adr	arquitetura_software	vigente	arquivo		Define saru-os como repositório multi-serviço (não monorepo do ecossistema), com saru-core/saru-core-jl como libs externas.
saru-app	docs/adr/0002-borda-nestjs-engine-python.md	2026-08-11	adr	arquitetura_software	vigente	arquivo		Fixa três serviços complementares (web Next.js, api NestJS, engine Python) e defere Rust/Tauri até haver gargalo medido.
saru-app	docs/adr/0003-convencao-de-nomes.md	2026-08-11	adr	arquitetura_software	vigente	arquivo		Padroniza nomes de serviço (telemetry-api→engine) e deixa o nome do repo pendente, depois resolvido pelo ADR-0022.
saru-app	docs/adr/0004-cache-redis-nao-sqlite.md	2026-08-11	adr	dados	vigente	arquivo		Move cache persistente de SQLite commitado para Redis, cumprindo a regra "SQLite nunca".
saru-app	docs/adr/0005-sd-transient-dynamics.md	2026-08-11	adr	dinamica_veicular	vigente	fisica (futuro repo)		Deduplica física do /simulate: engine delega ao saru-core (3-DOF); 14-DOF fica externo (Julia); remove cópia órfã quebrada.
saru-app	docs/adr/0006-auth-identity.md	2026-08-11	adr	arquitetura_software	vigente	arquivo		Implementa autenticação JWT na borda NestJS (registro/login, cookie httpOnly, Postgres).
saru-app	docs/adr/0007-bff-orquestracao-calculo.md	2026-08-11	adr	arquitetura_software	vigente	arquivo		Define o BFF NestJS como borda única do SPA, com dois regimes de orquestração (síncrono e fila assíncrona via Redis).
saru-app	docs/adr/0008-refresh-token-rotation.md	2026-08-11	adr	arquitetura_software	vigente	arquivo		Implementa refresh token opaco rotacionado com detecção de reuso e revogação por família.
saru-app	docs/adr/0009-crm-erp-na-borda-nestjs.md	2026-08-11	adr	arquitetura_software	vigente	arquivo		Migra rotas de CRM/ERP do engine Python para o BFF NestJS, guardadas por JWT.
saru-app	docs/adr/0010-vehicle-setup-ssot.md	2026-08-11	adr	arquitetura_software	superado_por_adr_24	arquivo		Definia o SSoT de setup de veículo no saru-core-jl com geração 2-tier; §1/§2 superados pelo ADR-0024.
saru-app	docs/adr/0011-ui-global-context-trackside.md	2026-08-11	adr	produto	vigente	arquivo		Cria barra de contexto global (Zustand) e extrai o módulo Trackside das ferramentas de pista do LTS.
saru-app	docs/adr/0012-github-org-docs-mvp.md	2026-08-11	adr	processo	vigente	arquivo		Define organização GitHub em polyrepo (saru-app, saru-physics-py/jl, saru-docs, saru-research), GitHub Flow e escopo do MVP.
saru-app	docs/adr/0013-setup-contract-json-schema-only.md	2026-08-11	adr	arquitetura_software	vigente	poc-trackday/portar		Remove protobuf morto do contrato de setup; contrato validado em runtime passa a ser o próprio código (pydantic/DTO).
saru-app	docs/adr/0014-ddl-single-owner.md	2026-08-11	adr	dados	vigente	arquivo		Torna as migrations do BFF NestJS dono único do DDL do data-plane.
saru-app	docs/adr/0015-gt7-capture-microservice.md	2026-08-11	adr	telemetria	vigente	arquivo		Define o gateway Go de captura GT7 como microserviço orquestrado pelo BFF, opt-in no compose.
saru-app	docs/adr/0016-simulators-module-multisource-ingestion.md	2026-08-11	adr	telemetria	vigente	arquivo		Generaliza o módulo gt7 para sims (SimRegistry), cobrindo captura UDP multi-console via dois arquétipos.
saru-app	docs/adr/0017-saru-coach-engine-causal-recommendations.md	2026-08-11	adr	ia_agentes	vigente	arquivo		Propõe motor de coaching causal em dois tiers sobre o FullAnalysisResult já cacheado.
saru-app	docs/adr/0018-openrouter-ai-coach-layer.md	2026-08-11	adr	ia_agentes	vigente	arquivo		Define camada de IA via OpenRouter isolada no BFF, com guardrail anti-alucinação de âncoras numéricas.
saru-app	docs/adr/0019-frontend-garage-module-live-review.md	2026-08-11	adr	produto	vigente	arquivo		Cria o módulo garage (captura/fontes/voltas) e separa superfícies LIVE (fullscreen) de REVIEW (hub).
saru-app	docs/adr/0020-workbook-sharing-export-import.md	2026-08-11	adr	produto	vigente	arquivo		Define compartilhamento de workbooks v1 por arquivo JSON exportado/importado, adiando escopo de equipe.
saru-app	docs/adr/0021-proxy-auth-guard-otimista.md	2026-08-11	adr	arquitetura_software	vigente	arquivo		Propõe guarda de rota otimista no proxy.ts (Next 16), mantendo autoridade real no BFF.
saru-app	docs/adr/0022-nomenclatura-comercial-hub-sfl.md	2026-08-11	adr	ui_marca	vigente	arquivo		Oficializa "SARU Hub" como produto e "SFL" como nome comercial do módulo LTS.
saru-app	docs/adr/0023-simulacao-em-background.md	2026-08-11	adr	arquitetura_software	vigente	arquivo		Move o QSS do regime síncrono para background via fila BullMQ já existente.
saru-app	docs/adr/0024-ssot-veiculo-interino.md	2026-08-11	adr	dinamica_veicular	superado_por_adr_35	arquivo		Hospeda o SSoT de veículo interinamente em YAML no saru-physics-py; §1/§2 superados pelo ADR-0035.
saru-app	docs/adr/0025-gateway-gt7-headless.md	2026-08-11	adr	arquitetura_software	vigente	arquivo		Remove o painel web do gateway GT7 do caminho de produto, tornando-o headless.
saru-app	docs/adr/0026-ia-por-fase-do-loop.md	2026-08-11	adr	produto	vigente	arquivo		Reorganiza a navegação em 4 fases do loop (Preparar→Pista→Analisar→Evoluir) derivadas da rota.
saru-app	docs/adr/0027-espinha-evento-sessao-run.md	2026-08-11	adr	produto	vigente	poc-trackday/portar		Cria o agregado relacional Evento→Sessão→Run como espinha do track day.
saru-app	docs/adr/0028-vida-util-por-km-de-run.md	2026-08-11	adr	produto	vigente	arquivo		Modela vida útil de peça por razão de uso append-only, km derivado de voltas×comprimento de pista; execução adiada pelo ADR-0034.
saru-app	docs/adr/0029-pneu-como-ativo-do-erp.md	2026-08-11	adr	pneu	vigente	arquivo		Modela jogo de pneus como ativo com lacre e razão de uso append-only; execução adiada pelo ADR-0034.
saru-app	docs/adr/0030-descongelamento-crm-erp.md	2026-08-11	adr	produto	superado_por_adr_34	arquivo		Descongelava CRM/ERP como hub de ativos do track day; substituído pelo ADR-0034.
saru-app	docs/adr/0031-cfd-fora-do-produto.md	2026-08-11	adr	produto	vigente	poc-trackday/docs		Decisão negativa: nenhum módulo de CFD entra no produto, só consumo de coeficiente de terceiro.
saru-app	docs/adr/0032-autorizacao-ownership-e-rbac.md	2026-08-11	adr	arquitetura_software	vigente	poc-trackday/portar		Define ownership como padrão de autorização (404 nunca 403) e restringe RBAC a dado global.
saru-app	docs/adr/0033-validade-de-volta-por-distancia.md	2026-08-19	adr	telemetria	rascunho	poc-trackday/portar		Propõe trocar o piso de tempo (60s hardcoded) por cobertura geométrica de distância/setores.
saru-app	docs/adr/0034-crm-erp-pos-mvp-recongelamento.md	2026-08-11	adr	produto	vigente	arquivo		Recongela CRM/ERP até o MVP fechar, revertendo o ADR-0030.
saru-app	docs/adr/0035-catalogo-de-veiculos-servido-pela-api.md	2026-08-11	adr	dados	vigente	arquivo		Torna o catálogo de veículos servido pelo BFF a partir do banco; YAML de física vira seed.
saru-app	docs/adr/0036-ia-do-mvp-track-day.md	2026-08-11	adr	produto	vigente	poc-trackday/docs		Põe a Run Sheet como objeto central do MVP, sidebar em seção(fase)→módulo→view.
saru-app	docs/adr/0037-motor-grafico-telemetria-uplot.md	2026-08-02	adr	telemetria	vigente	poc-trackday/portar		Substitui recharts por uPlot (Canvas) com downsampling LTTB para telemetria de alta frequência.
